card_name	image_url
Abandoned Willow	http://play-agricola.com/Agricola/Cards/Cards/xminorAbandonedWillow_3845_4.jpg
Absinthe	http://play-agricola.com/Agricola/Cards/Cards/xminorAbsinthe_4005_5.jpg
Academic	http://play-agricola.com/Agricola/Images/occe3academic.jpg
Acater	http://play-agricola.com/Agricola/Cards/Cards/occx3Acater_7193_4.jpg
Acquirer	http://play-agricola.com/Agricola/Cards/Cards/occx1Acquirer_6096_15.jpg
Acreage	http://play-agricola.com/Agricola/Images/kminoracreage.jpg
Acrobat	http://play-agricola.com/Agricola/Images/occk4acrobat.jpg
Adoptive Parents	http://play-agricola.com/Agricola/Images/occk1adoptiveparents.jpg
Agrarian	http://play-agricola.com/Agricola/Cards/Cards/occx3Agrarian_2311_7.jpg
Alchemist's Lab	http://play-agricola.com/Agricola/Cards/Cards/xminorAlchemistsLab_6163_5.jpg
Allegory	http://play-agricola.com/Agricola/Cards/Cards/xminorAllegory_7243_2.jpg
Almanac	http://play-agricola.com/Agricola/Images/gminoralmanac.jpg
Alms	http://play-agricola.com/Agricola/Images/iminoralms.jpg
Alms Basket	http://play-agricola.com/Agricola/Cards/Cards/xminorAlmsBasket_5375_3.jpg
Alms Collector	http://play-agricola.com/Agricola/Cards/Cards/occx4AlmsCollector_4286_4.jpg
Almshouse	http://play-agricola.com/Agricola/Cards/Cards/xminorAlmshouse_655_8.jpg
Alternative Designer	http://play-agricola.com/Agricola/Images/occg1alternativedesigner_v2.jpg
Alternative Materials	http://play-agricola.com/Agricola/Cards/Cards/xminorAlternativeMaterials_5624_3.jpg
Amazon	http://play-agricola.com/Agricola/Cards/Cards/occx3Amazon_670_6.jpg
Amusement Park	http://play-agricola.com/Agricola/Cards/Cards/xminorAmusementPark_3774_11.jpg
Animal Breeder	http://play-agricola.com/Agricola/Images/occk4animalbreeder.jpg
Animal Buyer	http://play-agricola.com/Agricola/Cards/Cards/occx3AnimalBuyer_2277_8.jpg
Animal Dealer	http://play-agricola.com/Agricola/Images/occi3animaldealer.jpg
Animal Farm	http://play-agricola.com/Agricola/Images/gminoranimalfarm.jpg
Animal Farmer	http://play-agricola.com/Agricola/Images/occg1animalfarmer.jpg
Animal Feed	http://play-agricola.com/Agricola/Images/iminoranimalfeed.jpg
Animal Handler	http://play-agricola.com/Agricola/Images/occk4animalhandler.jpg
Animal Holder	http://play-agricola.com/Agricola/Images/occg3animalholder.jpg
Animal Husbandry Worker	http://play-agricola.com/Agricola/Cards/Cards/occx3AnimalHusbandryWorke_4502_9.jpg
Animal Keeper	http://play-agricola.com/Agricola/Images/occe4animalkeeper.jpg
Animal Nursery	http://play-agricola.com/Agricola/Cards/Cards/xminorAnimalNursery_665_10.jpg
Animal Pen	http://play-agricola.com/Agricola/Images/eminoranimalpen.jpg
Animal Renovator	http://play-agricola.com/Agricola/Cards/Cards/occx4AnimalRenovator_8663_1.jpg
Animal Tamer	http://play-agricola.com/Agricola/Images/occk1animaltamer.jpg
Animal Tamer's Apprentice	http://play-agricola.com/Agricola/Cards/Cards/occx3AnimalTamersApprenti_6015_4.jpg
Animal Trainer	http://play-agricola.com/Agricola/Images/occk4animaltrainer.jpg
Animal Trap	http://play-agricola.com/Agricola/Cards/Cards/xminorAnimalTrap_5300_15.jpg
Animal Welfarist	http://play-agricola.com/Agricola/Cards/Cards/occx4AnimalWelfarist_2308_8.jpg
Animal Yard	http://play-agricola.com/Agricola/Images/eminoranimalyard.jpg
Apiary	http://play-agricola.com/Agricola/Cards/Cards/xminorApiary_6427_3.jpg
Apple Garden	http://play-agricola.com/Agricola/Cards/Cards/xminorAppleGarden_3224_4.jpg
Apple Picker	http://play-agricola.com/Agricola/Cards/Cards/occx1ApplePicker_963_6.jpg
Apple Tree	http://play-agricola.com/Agricola/Cards/Cards/xminorAppleTree_1076_5.jpg
Appraiser	http://play-agricola.com/Agricola/Cards/Cards/occx4Appraiser_7194_7.jpg
Apprentice	http://play-agricola.com/Agricola/Images/occg3apprentice_v2.jpg
